segment	name	url	memo	reason
organic-shop	日本のコスメ 茉華（まつりか）	https://matsuricaweb.com/	国産自然派コスメ専門セレクトショップ（東急プラザ銀座・オンライン）	「生産者と出会える」を掲げ直接仕入れる方針で、作り手の物語重視の小規模国産ブランドと相性が良い
organic-shop	HOLISTIC JAPAN（ホリスティックジャパン）	https://holisticjapan.com/	国産オーガニックコスメのセレクトショップ（オンライン）	人と地球に優しい国産オーガニックコスメのみを識者がセレクトする編集方針で、国産小規模ヘアケアの提案先として適合
organic-shop	organic room（オーガニックルーム）	https://organicroom.jp/	オーガニック・自然派コスメのセレクトショップ	本物志向のオーガニック製品を厳選するコスメ専門セレクトで、自然派シャンプーのカテゴリ適合度が高い
organic-shop	style table（スタイルテーブル）	https://styletable.jp/	エシカル×サステナブル×ヴィーガンのセレクトショップ（代官山発・複数店舗）	ブランドストーリー発信を重視し「JAPAN MADE」オーガニックコスメフェアの開催実績あり
organic-shop	Ethical&SEA（エシカルシー）	https://ethicalsea.com/	エシカルセレクトショップ（東京・神奈川・大阪・沖縄＋オンライン）	オーガニックコスメ・フード・雑貨約500種を編集する複数店舗展開のセレクトで、エシカルヘアケアの棚がある
organic-shop	SEPLÚMO（セプルモ）	https://seplumo.com/	エシカル商品のオンラインセレクトショップ	「作り手の温かみとストーリーを感じられる商品」を8つのエシカル基準で選ぶ方針が、開発者個人製造のブランドと合致
organic-shop	minimal living tokyo.	https://minimal-living-tokyo.com/	ゼロウェイスト・プラスチックフリーのセレクトショップ	肌に触れるオーガニックアイテムを生産背景まで吟味して扱う小規模ショップで提案が届きやすい
organic-shop	クレヨンハウス	https://www.crayonhouse.co.jp/	オーガニックフーズ・コスメ・雑貨の専門店（吉祥寺・大阪＋通販）	国産自然派シャンプーの取扱実績が確認でき、オーガニックヘアケア売場が既にある
organic-shop	GOOD NATURE STATION	https://online.goodnaturestation.com/	京都発オーガニック・サステナブル複合施設＋通販	オーガニックヘアケア専門カテゴリを持ち、作り手系の雑貨編集にも積極的
organic-shop	ナチュラルハウス	https://naturalhouse.co.jp/	自然食品・自然化粧品の専門店（青山ほか）	自然化粧品と生活用品まで扱う老舗自然派チェーンで、国産ブランド提案の余地がある
